#qid,lmin,lmax,hybrid,radial,friends,cfreq,fgroup,wrfit
d1,500,40000,True,True,"",148,150,1000
d5,500,40000,True,True,"",148,150,1000
d6,500,40000,True,True,"",148,150,1000
d56_01,500,40000,True,True,"",148,150,1000
d56_02,500,40000,True,True,"",148,150,1000
d56_03,500,40000,True,True,"",148,150,1000
d56_04,500,40000,True,True,"",148,150,1000
d56_05,500,40000,True,True,"d56_06",93,090,1000
d56_06,500,40000,True,True,"d56_05",148,150,1000
boss_01,500,40000,True,True,"",148,150,1000
boss_02,500,40000,True,True,"",148,150,1000
boss_03,500,40000,True,True,"boss_04",93,090,1000
boss_04,500,40000,True,True,"boss_03",148,150,1000
deep8_01,500,40000,True,True,"",148,150,1000
deep8_02,500,40000,True,True,"",148,150,1000
deep8_03,500,40000,True,True,"deep8_04",93,150,1000
deep8_04,500,40000,True,True,"deep8_03",148,150,1000
p01,80,900,True,False,"",30,030,150
p02,80,900,True,False,"",44,044,150
p03,80,1900,True,False,"",70,070,250
p04,80,5800,True,False,"",100,090,250
p05,80,5800,True,False,"",143,150,250
p06,80,5800,True,False,"",217,217,250
p07,80,5800,True,False,"",353,353,250
p08,80,5800,True,False,"",545,545,250
p09,80,5800,True,False,"",857,857,250
s16_01,500,40000,True,True,"",148,150,1000
s16_02,500,40000,True,True,"s16_04",93,090,1000
s16_03,500,40000,True,True,"s16_03",148,150,1000
mbac_01,500,40000,True,True,"",148,150,1000
mbac_02,500,40000,True,True,"",220,217,1000
mbac_03,500,40000,True,True,"",148,150,1000
mbac_04,500,40000,True,True,"",220,217,1000
mbac_05,500,40000,True,True,"",148,150,1000
mbac_06,500,40000,True,True,"",220,217,1000
mbac_07,500,40000,True,True,"",148,150,1000
mbac_08,500,40000,True,True,"",220,217,1000
mbac_09,500,40000,True,True,"",148,150,1000
mbac_10,500,40000,True,True,"",220,217,1000
mbac_11,500,40000,True,True,"",148,150,1000
mbac_12,500,40000,True,True,"",220,217,1000
s17_01,500,40000,True,True,"s17_02",148,150,1000
s17_02,500,40000,True,True,"s17_01",220,217,1000
s17_03,500,40000,True,True,"s17_04",93,090,1000
s17_04,500,40000,True,True,"s17_03",148,150,1000
s17_05,500,40000,True,True,"s17_06",93,090,1000
s17_06,500,40000,True,True,"s17_05",148,150,1000
s18_01,500,40000,True,True,"s18_02",148,150,1000
s18_02,500,40000,True,True,"s18_01",220,217,1000
s18_03,500,40000,True,True,"s18_04",93,090,1000
s18_04,500,40000,True,True,"s18_03",148,150,1000
s18_05,500,40000,True,True,"s18_06",93,090,1000
s18_06,500,40000,True,True,"s18_05",148,150,1000
mbs_01,500,40000,True,True,"",27,030,1000
mbs_02,500,40000,True,True,"",39,044,1000
mbs_03,500,40000,True,True,"",93,090,1000
mbs_04,500,40000,True,True,"",145,150,1000
mbs_05,500,40000,True,True,"",225,217,1000
mbs_06,500,40000,True,True,"",280,280,1000
